,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Jammu and Kashmir,JAMMU,94,1.24,38.78,5,5%,48,51%,27,29%,9,10%,5,5%,0,0%
1,Jammu and Kashmir,KATHUA,45,1.70,28.70,6,13%,17,38%,14,31%,6,13%,2,4%,0,0%
2,Jammu and Kashmir,RAJAURI,36,0.95,7.40,9,25%,20,56%,7,19%,0,0%,0,0%,0,0%
3,Jammu and Kashmir,UDHAMPUR,29,0.85,25.54,8,28%,17,59%,3,10%,0,0%,1,3%,0,0%
