,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Meghalaya,East Garo Hills,9,3.43,6.38,0,0%,8,89%,1,11%,0,0%,0,0%,0,0%
1,Meghalaya,East Jaintia Hills,1,43.95,43.95,0,0%,0,0%,0,0%,0,0%,0,0%,1,100%
2,Meghalaya,East Khasi Hills,10,0.94,9.09,4,40%,3,30%,3,30%,0,0%,0,0%,0,0%
3,Meghalaya,North Garo Hills,3,4.01,5.75,0,0%,2,67%,1,33%,0,0%,0,0%,0,0%
4,Meghalaya,Ri-Bhoi,14,0.56,31.91,1,7%,7,50%,4,29%,0,0%,2,14%,0,0%
5,Meghalaya,South West Garo Hills,4,3.34,6.45,0,0%,2,50%,2,50%,0,0%,0,0%,0,0%
6,Meghalaya,West Garo Hills,11,3.12,8.35,0,0%,7,64%,4,36%,0,0%,0,0%,0,0%
7,Meghalaya,West Jaintia Hills,3,0.51,12.96,2,67%,0,0%,0,0%,1,33%,0,0%,0,0%
8,Meghalaya,West Khasi Hills,1,0.80,0.80,1,100%,0,0%,0,0%,0,0%,0,0%,0,0%
