,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Himachal Pradesh,HAMIRPUR,4,1.96,7.39,1,25%,1,25%,2,50%,0,0%,0,0%,0,0%
1,Himachal Pradesh,KANGRA,34,0.62,12.48,6,18%,21,62%,4,12%,3,9%,0,0%,0,0%
2,Himachal Pradesh,KULLU,3,0.85,8.47,1,33%,0,0%,2,67%,0,0%,0,0%,0,0%
3,Himachal Pradesh,MANDI,8,0.74,8.94,3,38%,3,38%,2,25%,0,0%,0,0%,0,0%
4,Himachal Pradesh,SIRMAUR,12,2.11,28.52,0,0%,1,8%,2,17%,8,67%,1,8%,0,0%
5,Himachal Pradesh,SOLAN,10,5.41,24.61,0,0%,0,0%,3,30%,5,50%,2,20%,0,0%
6,Himachal Pradesh,UNA,30,1.07,28.72,4,13%,13,43%,6,20%,4,13%,3,10%,0,0%
