,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Delhi,EAST,6,4.82,24.60,0,0%,1,17%,1,17%,3,50%,1,17%,0,0%
1,Delhi,NEW DELHI,7,6.65,25.98,0,0%,0,0%,4,57%,2,29%,1,14%,0,0%
2,Delhi,NORTH,4,2.14,10.13,0,0%,2,50%,1,25%,1,25%,0,0%,0,0%
3,Delhi,NORTH WEST,22,1.48,23.25,3,14%,5,23%,7,32%,5,23%,2,9%,0,0%
4,Delhi,SOUTH,11,6.69,62.64,0,0%,0,0%,3,27%,0,0%,3,27%,5,45%
5,Delhi,SOUTH WEST,16,1.07,46.85,1,6%,2,13%,0,0%,7,44%,5,31%,1,6%
6,Delhi,WEST,7,2.78,38.70,0,0%,2,29%,2,29%,2,29%,1,14%,0,0%
