,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Andaman and Nicobar,NORTH_MIDDLE_ANDAMAN,33,0.04,4.56,29,88%,4,12%,0,0%,0,0%,0,0%,0,0%
1,Andaman and Nicobar,SOUTH ANDAMAN,73,0.07,10.00,51,70%,15,21%,7,10%,0,0%,0,0%,0,0%
