,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Tripura,Dhalai,14,1.29,7.33,4,29%,8,57%,2,14%,0,0%,0,0%,0,0%
1,Tripura,Gomti,8,1.54,9.76,2,25%,5,63%,1,13%,0,0%,0,0%,0,0%
2,Tripura,Khowai,8,1.88,15.22,1,13%,6,75%,0,0%,1,13%,0,0%,0,0%
3,Tripura,North Tripura,20,0.90,6.68,6,30%,10,50%,4,20%,0,0%,0,0%,0,0%
4,Tripura,Sipahi-Jala,8,1.78,4.68,1,13%,7,88%,0,0%,0,0%,0,0%,0,0%
5,Tripura,South Tripura,19,0.45,15.15,4,21%,10,53%,3,16%,2,11%,0,0%,0,0%
6,Tripura,Unakoti,10,1.63,6.55,2,20%,3,30%,5,50%,0,0%,0,0%,0,0%
7,Tripura,West Tripura,11,2.70,27.25,0,0%,3,27%,3,27%,2,18%,3,27%,0,0%
