Lat,Long,Season,Year,Solar_Radiation,Precipitation,Surface_Pressure,Humidity,Dew_Frost_Point,Temp_Max,Temp_Min,Wind_Speed
24.92157,76.68944,Whole Year,1997,17.6825,73.98333333333333,96.79083333333334,49.198,11.168,32.19,18.804,2.289
24.92157,76.68944,Rabi,1997,16.770000000000003,0.42800000000000005,97.264,29.398,-0.174,29.372,11.664,1.688
27.26826,77.36413,Rabi,1997,15.294,1.938,98.932,24.804,-2.652,28.466,10.458,1.65
28.12016,72.78646,Kharif,1997,18.546,42.612,98.282,40.542,17.282,38.358,27.44,3.214
25.49157,74.7134,Rabi,1997,16.128,0.658,96.438,23.934,-2.96,29.052,11.306,1.748
25.49157,74.7134,Kharif,1997,18.4,118.34599999999998,95.578,65.246,20.238,33.342,22.93,2.546
27.26826,77.36413,Whole Year,1997,16.9175,44.715833333333336,98.38,39.344,9.252,33.177,19.208,1.997
28.12016,72.78646,Rabi,1997,13.774000000000001,3.9159999999999995,99.43800000000002,19.262,-5.812,27.266,11.974,1.83
24.92157,76.68944,Kharif,1997,17.658,154.04,96.378,69.16,21.25,32.964,23.294,2.608
27.64558,76.60788,Kharif,1997,17.668,89.574,97.224,52.634,19.214,36.268,25.186,2.2
26.33052,74.71256,Rabi,1997,14.907999999999998,1.3980000000000001,96.904,21.814,-4.344,28.502,11.084,1.804
26.33052,74.71256,Kharif,1997,18.67,102.20400000000001,95.984,60.434,19.752,34.396,23.486,2.56
27.64558,76.60788,Rabi,1997,15.065999999999999,3.7159999999999997,98.262,24.154,-3.502,27.852,10.362,1.776
23.49366,74.35584,Rabi,1997,17.046,1.53,98.182,27.716,0.476,31.47,13.63,1.996
23.49366,74.35584,Kharif,1997,17.358,202.23600000000002,97.42800000000001,78.428,22.374,31.038,22.95,2.734
27.64558,76.60788,Whole Year,1997,17.01,47.62583333333333,97.72583333333334,40.164,9.054,32.57,18.746,2.002
26.78523,76.40787,Rabi,1997,15.52,1.9120000000000001,97.67999999999999,24.888,-2.796,28.224,10.96,1.652
26.78523,76.40787,Kharif,1997,17.85,113.53599999999999,96.698,58.566,19.812,35.04,24.334,2.378
28.208,74.37141,Rabi,1997,13.796000000000001,6.156000000000001,98.41999999999999,21.25,-5.032,26.702,11.626,1.788
28.208,74.37141,Kharif,1997,18.274,77.8,97.336,46.832,18.044,36.702,25.9,2.804
24.86643,74.59471,Rabi,1997,16.676,0.71,96.288,26.366,-1.552,29.198,11.534,1.812
26.6602,77.62701,Kharif,1997,17.625999999999998,87.83999999999999,98.13400000000001,54.274,20.01,36.248,25.672,2.294
26.7597,94.20758,Winter,1997,15.445,5.17,97.61,57.42,7.11,22.73,10.48,0.55
23.68344,73.82284,Rabi,1997,17.296,1.5100000000000002,98.14399999999999,25.56,-0.816,31.208,13.062,2.012
23.68344,73.82284,Kharif,1997,17.618,208.46600000000004,97.36000000000001,78.012,22.32,31.122,22.85,2.462
26.6602,77.62701,Whole Year,1997,17.024166666666666,49.44833333333332,98.63666666666667,40.483,9.702,33.257,19.471,2.018
26.6602,77.62701,Rabi,1997,15.652000000000001,0.9039999999999999,99.19000000000001,26.076,-1.84,28.626,10.602,1.594
24.86643,74.59471,Kharif,1997,17.948,134.56599999999997,95.462,69.49,20.694,32.338,22.64,2.658
26.26094,91.61302,Whole Year,1997,17.285833333333336,124.04833333333333,98.17583333333334,67.312,16.412,29.193,18.383,0.996
26.26094,91.61302,Winter,1997,15.875,4.74,98.77000000000001,61.9,8.355,23.55,9.875,0.765
25.45098,75.74756,Whole Year,1997,17.523333333333333,55.826666666666675,97.17833333333334,45.602,10.523,32.648,18.763,2.248
25.45098,75.74756,Rabi,1997,15.936000000000002,0.564,97.66999999999999,26.412,-1.488,29.342,11.264,1.598
25.45098,75.74756,Kharif,1997,18.124000000000002,120.9,96.744,63.764,20.728,34.226,23.886,2.628
26.26094,91.61302,Autumn,1997,16.776666666666667,71.87666666666667,98.44333333333333,78.997,19.3,28.19,19.29,0.887
26.26094,91.61302,Kharif,1997,16.922000000000004,210.12199999999999,97.78,79.496,23.022,31.126,23.456,1.066
26.26094,91.61302,Rabi,1997,17.174,14.788,98.564,57.712,9.284,26.058,12.19,0.916
26.26094,91.61302,Summer,1997,19.345,168.86,97.94749999999999,56.688,16.582,32.875,20.665,1.162
10.83331,78.60366,Whole Year,1997,17.935,71.96833333333333,99.51249999999999,65.87,20.367,33.929,23.024,2.532
10.83331,78.60366,Kharif,1997,17.618000000000002,76.572,99.388,64.384,21.184,34.406,24.444,3.038
13.10021,80.25156,Whole Year,1997,18.624166666666667,116.3975,100.54666666666667,71.853,22.298,31.184,25.63,3.572
13.10021,80.25156,Kharif,1997,17.244,93.64000000000001,100.33000000000001,69.662,23.168,32.578,26.932,3.806
27.45732,94.90788,Autumn,1997,13.786666666666667,86.27666666666666,97.81333333333333,74.7,18.04,27.67,19.017,0.54
27.45732,94.90788,Kharif,1997,15.989999999999998,267.398,97.162,76.952,22.224,30.894,23.014,0.564
27.45732,94.90788,Rabi,1997,12.692,38.858,97.922,57.508,9.154,24.928,12.576,0.546
9.90819,78.1414,Whole Year,1997,17.220000000000002,97.0,99.52166666666666,69.973,20.963,32.858,22.977,2.322
9.90819,78.1414,Kharif,1997,17.580000000000002,130.936,99.43,73.566,22.172,32.366,23.688,2.56
10.7639,79.8445,Whole Year,1997,17.86916666666667,86.14916666666666,100.82916666666667,73.185,22.662,31.143,25.696,3.712
10.7639,79.8445,Kharif,1997,17.919999999999998,80.032,100.69,70.954,23.242,32.234,26.68,4.308
25.88074,89.92114,Whole Year,1997,18.00583333333333,120.92750000000001,99.91083333333334,61.812,15.882,30.668,19.795,1.459
25.88074,89.92114,Winter,1997,16.32,1.43,100.565,46.155,5.67,26.215,11.09,1.03
8.08783,77.53841,Whole Year,1997,16.85,135.73166666666665,100.08500000000002,78.849,22.888,29.433,25.174,3.672
8.08783,77.53841,Kharif,1997,16.596,220.57799999999997,100.054,84.958,23.87,28.41,25.334,4.334
25.88074,89.92114,Autumn,1997,16.433333333333334,121.92666666666668,100.19333333333333,79.383,20.457,28.83,20.557,1.167
25.88074,89.92114,Kharif,1997,16.636,228.82,99.49,80.674,24.05,31.578,24.622,1.626
25.88074,89.92114,Rabi,1997,18.552,7.272,100.33000000000001,41.2,6.056,29.0,13.716,1.266
25.88074,89.92114,Summer,1997,21.6475,122.60499999999999,99.65,48.115,15.482,35.238,22.468,1.852
27.45732,94.90788,Summer,1997,14.39,219.09750000000003,97.3425,60.842,16.762,31.112,19.79,0.602
27.45732,94.90788,Whole Year,1997,14.277499999999998,156.3875,97.54750000000001,66.399,15.883,28.344,18.127,0.562
26.07339,90.56595,Kharif,1997,16.133999999999997,231.22199999999998,99.124,79.94,23.768,31.366,24.37,1.37
26.07339,90.56595,Rabi,1997,16.048,12.43,99.954,55.17,9.272,26.334,13.27,1.124
26.07339,90.56595,Summer,1997,18.102500000000003,164.75,99.2825,54.438,16.737,33.468,21.762,1.49
26.07339,90.56595,Whole Year,1997,16.366666666666664,130.92583333333332,99.53916666666667,66.438,16.838,29.46,19.381,1.237
26.07339,90.56595,Winter,1997,14.855,3.635,100.18,60.555,8.645,23.605,10.965,0.945
26.12647,75.66203,Kharif,1997,18.214000000000002,109.13399999999999,96.892,59.832,20.122,34.962,24.21,2.436
11.01565,76.96833,Kharif,1997,14.813999999999998,219.92799999999997,93.946,83.896,20.47,27.478,20.63,2.328
24.38033,73.95515,Rabi,1997,16.452,1.196,96.20000000000002,23.98,-2.452,29.974,12.32,2.022
24.38033,73.95515,Kharif,1997,17.956,182.098,95.432,77.29,21.384,30.516,22.016,2.408
26.12647,75.66203,Rabi,1997,15.592000000000002,1.314,97.86800000000001,24.072,-3.006,28.782,10.994,1.626
26.07339,90.56595,Autumn,1997,16.39,91.30333333333333,99.81333333333333,80.137,20.167,28.26,20.217,1.147
27.66409,75.02408,Kharif,1997,18.298,97.118,96.01200000000001,52.478,18.442,35.206,24.562,2.508
26.20318,76.53804,Rabi,1997,15.52,0.9480000000000001,98.228,26.966,-1.48,28.556,10.962,1.532
26.20318,76.53804,Kharif,1997,17.85,111.226,97.232,59.788,20.344,35.044,24.532,2.404
25.2679,73.82682,Rabi,1997,15.430000000000001,0.7259999999999999,95.398,21.108,-4.684,28.892,11.526,1.918
24.81118,72.83259,Whole Year,1997,17.9975,63.35583333333335,97.27083333333333,46.613,10.313,32.239,18.842,2.319
24.81118,72.83259,Rabi,1997,15.912,1.042,97.71799999999999,20.022,-4.142,30.608,13.304,1.864
24.81118,72.83259,Kharif,1997,18.386000000000003,145.95000000000002,96.87400000000001,70.63,21.328,32.534,22.904,2.418
27.66409,75.02408,Rabi,1997,14.693999999999999,5.058,97.004,22.626,-4.564,26.742,11.146,1.758
11.01565,76.96833,Whole Year,1997,17.694166666666668,122.38666666666667,94.00916666666666,72.816,18.284,29.612,19.877,1.722
27.45732,94.90788,Winter,1997,13.71,7.029999999999999,98.09,55.2,7.025,23.315,10.96,0.485
25.99404,93.25153,Autumn,1997,16.12333333333333,78.03666666666668,96.15333333333335,77.843,18.237,27.517,18.26,0.22
20.04287,85.49866,Summer,1997,20.13,95.9,99.2525,53.012,19.128,37.57,25.165,2.685
20.04287,85.49866,Autumn,1997,15.343333333333334,95.21,99.78333333333335,81.477,22.28,29.243,22.523,1.453
21.59031,85.66972,Winter,1997,15.145,14.435,97.25999999999999,44.875,5.195,26.355,10.66,1.12
21.59031,85.66972,Whole Year,1997,16.844166666666663,130.385,96.63583333333332,64.427,16.363,31.048,19.672,1.622
21.59031,85.66972,Summer,1997,20.377499999999998,107.705,96.415,46.69,15.425,37.135,22.635,1.85
18.72803,82.5946,Summer,1997,20.505,65.5075,93.32249999999999,46.24,14.105,34.9,21.84,2.175
18.72803,82.5946,Rabi,1997,18.224,20.372000000000003,93.758,53.992,9.296,28.252,14.388,1.478
18.72803,82.5946,Autumn,1997,15.773333333333333,122.29666666666667,93.67666666666666,85.57,19.89,26.537,19.187,1.393
20.04287,85.49866,Winter,1997,15.07,23.330000000000002,100.16,52.215,9.755,27.43,14.05,1.465
20.04287,85.49866,Whole Year,1997,16.83583333333333,124.12500000000001,99.48916666666666,67.093,19.293,32.103,22.278,2.131
18.72803,82.5946,Whole Year,1997,17.154999999999998,105.86,93.45833333333333,66.3,15.879,29.587,19.157,1.992
21.59031,85.66972,Rabi,1997,17.683999999999997,13.414000000000001,97.056,43.94,7.052,29.694,13.766,1.282
21.59031,85.66972,Autumn,1997,15.276666666666666,83.94333333333333,96.94333333333334,81.773,20.413,28.08,20.063,1.127
20.12895,84.0721,Winter,1997,15.66,20.345,96.845,48.555,6.94,26.44,12.28,1.19
20.12895,84.0721,Whole Year,1997,17.011666666666667,121.45166666666667,96.25500000000001,63.237,16.228,31.176,20.132,1.881
20.12895,84.0721,Summer,1997,20.3575,83.15,96.04749999999999,41.978,14.292,37.41,23.188,2.18
20.12895,84.0721,Rabi,1997,18.098,17.682,96.64999999999999,45.64,7.952,29.76,14.824,1.392
20.12895,84.0721,Autumn,1997,15.733333333333334,94.66000000000001,96.53666666666668,84.203,20.83,27.733,20.223,1.243
26.4394,91.4404,Autumn,1997,16.776666666666667,75.38000000000001,99.79333333333334,78.93,20.0,28.547,20.15,1.173
26.4394,91.4404,Kharif,1997,16.922000000000004,217.37999999999997,99.102,79.002,23.686,31.582,24.332,1.456
20.50421,86.41599,Winter,1997,14.555,18.915000000000003,100.945,53.675,10.065,27.77,13.745,1.445
20.50421,86.41599,Whole Year,1997,16.133333333333336,129.12166666666667,100.25083333333333,69.712,20.088,32.36,22.165,2.102
20.50421,86.41599,Summer,1997,18.77,114.08000000000001,100.0125,58.583,20.72,37.545,24.908,2.675
20.50421,86.41599,Autumn,1997,14.993333333333334,87.91000000000001,100.54666666666667,82.01,22.497,29.753,22.423,1.37
26.4394,91.4404,Rabi,1997,17.174,14.142000000000001,99.93200000000002,57.732,9.886,26.286,13.178,1.148
18.72803,82.5946,Winter,1997,15.52,9.445,93.905,61.615,9.52,24.78,11.98,1.345
19.61426,82.28987,Autumn,1997,15.949999999999998,70.26666666666667,95.34666666666668,82.793,20.153,27.803,19.57,1.4
21.92393,86.39437,Winter,1997,14.57,13.83,97.43,47.855,5.99,25.995,10.785,1.005
