Lat,Long,Temp_Max,Temp_Min,Year
9.46214,76.28424,28.86,26.67,1997
9.46214,76.28424,29.01,26.85,1998
9.46214,76.28424,28.37,26.25,1999
9.46214,76.28424,28.56,26.25,2000
9.46214,76.28424,28.68,26.47,2001
9.46214,76.28424,29.01,26.66,2002
9.46214,76.28424,29.08,26.77,2003
9.46214,76.28424,28.82,26.46,2004
9.46214,76.28424,28.69,26.65,2005
9.46214,76.28424,28.75,26.39,2006
9.46214,76.28424,28.86,26.5,2007
9.46214,76.28424,28.62,26.42,2008
9.46214,76.28424,28.95,26.61,2009
9.46214,76.28424,28.84,26.77,2010
9.46214,76.28424,28.82,26.53,2011
9.46214,76.28424,28.99,26.67,2012
9.46214,76.28424,28.9,26.72,2013
9.46214,76.28424,29.07,26.81,2014
9.46214,76.28424,29.19,26.94,2015
9.63726,76.60583,28.53,21.59,1997
9.63726,76.60583,28.69,21.92,1998
9.63726,76.60583,27.8,21.18,1999
9.63726,76.60583,28.06,21.17,2000
9.63726,76.60583,28.22,21.54,2001
9.63726,76.60583,28.72,21.55,2002
9.63726,76.60583,28.39,21.62,2003
9.63726,76.60583,28.28,21.26,2004
9.63726,76.60583,28.0,21.7,2005
9.63726,76.60583,28.08,21.38,2006
9.63726,76.60583,28.38,21.36,2007
9.63726,76.60583,27.85,21.12,2008
9.63726,76.60583,28.56,21.42,2009
9.63726,76.60583,28.34,21.78,2010
9.63726,76.60583,27.99,21.16,2011
9.63726,76.60583,28.58,21.47,2012
9.63726,76.60583,28.53,21.64,2013
9.63726,76.60583,28.59,21.75,2014
9.63726,76.60583,28.61,21.76,2015
9.8139,77.00703,29.05,20.21,1997
9.8139,77.00703,29.21,20.6,1998
9.8139,77.00703,28.27,19.71,1999
9.8139,77.00703,28.84,19.9,2000
9.8139,77.00703,28.62,20.18,2001
9.8139,77.00703,29.37,20.17,2002
9.8139,77.00703,28.98,20.22,2003
9.8139,77.00703,28.56,19.84,2004
9.8139,77.00703,28.38,20.34,2005
9.8139,77.00703,28.24,19.89,2006
9.8139,77.00703,28.86,19.95,2007
9.8139,77.00703,28.51,19.74,2008
9.8139,77.00703,29.57,20.11,2009
9.8139,77.00703,29.34,20.49,2010
9.8139,77.00703,29.05,19.91,2011
9.8139,77.00703,29.91,20.28,2012
9.8139,77.00703,29.69,20.46,2013
9.8139,77.00703,29.4,20.5,2014
9.8139,77.00703,29.24,20.42,2015
9.90819,78.1414,32.84,22.99,1997
9.90819,78.1414,33.03,23.43,1998
9.90819,78.1414,32.15,22.38,1999
9.90819,78.1414,32.96,22.91,2000
9.90819,78.1414,32.3,22.83,2001
9.90819,78.1414,33.55,23.11,2002
9.90819,78.1414,33.02,23.11,2003
9.90819,78.1414,32.15,22.54,2004
9.90819,78.1414,32.21,23.05,2005
9.90819,78.1414,32.03,22.64,2006
9.90819,78.1414,33.31,22.96,2007
9.90819,78.1414,32.58,22.68,2008
9.90819,78.1414,34.17,23.34,2009
9.90819,78.1414,33.62,23.53,2010
9.90819,78.1414,33.41,23.15,2011
9.90819,78.1414,34.31,23.52,2012
9.90819,78.1414,34.37,23.79,2013
9.90819,78.1414,33.6,23.52,2014
9.90819,78.1414,32.97,23.28,2015
9.9871,76.3431,29.57,25.87,1997
9.9871,76.3431,29.7,26.03,1998
9.9871,76.3431,29.1,25.42,1999
9.9871,76.3431,29.28,25.33,2000
9.9871,76.3431,29.32,25.65,2001
9.9871,76.3431,29.77,25.83,2002
9.9871,76.3431,29.73,25.92,2003
9.9871,76.3431,29.5,25.58,2004
9.9871,76.3431,29.27,25.8,2005
9.9871,76.3431,29.46,25.53,2006
9.9871,76.3431,29.56,25.65,2007
9.9871,76.3431,29.27,25.48,2008
9.9871,76.3431,29.65,25.78,2009
9.9871,76.3431,29.43,26.01,2010
9.9871,76.3431,29.42,25.53,2011
9.9871,76.3431,29.67,25.79,2012
9.9871,76.3431,29.58,25.92,2013
9.9871,76.3431,29.76,26.06,2014
9.9871,76.3431,29.83,26.13,2015
9.99975,77.48853,29.05,20.21,1997
9.99975,77.48853,29.21,20.6,1998
9.99975,77.48853,28.27,19.71,1999
9.99975,77.48853,28.84,19.9,2000
9.99975,77.48853,28.62,20.18,2001
9.99975,77.48853,29.37,20.17,2002
9.99975,77.48853,28.98,20.22,2003
9.99975,77.48853,28.56,19.84,2004
9.99975,77.48853,28.38,20.34,2005
9.99975,77.48853,28.24,19.89,2006
9.99975,77.48853,28.86,19.95,2007
9.99975,77.48853,28.51,19.74,2008
9.99975,77.48853,29.57,20.11,2009
9.99975,77.48853,29.34,20.49,2010
9.99975,77.48853,29.05,19.91,2011
9.99975,77.48853,29.91,20.28,2012
9.99975,77.48853,29.69,20.46,2013
9.99975,77.48853,29.4,20.5,2014
9.99975,77.48853,29.24,20.42,2015
10.3784,78.81642,33.59,23.56,1997
10.3784,78.81642,33.75,23.97,1998
10.3784,78.81642,33.06,23.04,1999
10.3784,78.81642,33.52,23.46,2000
10.3784,78.81642,33.3,23.44,2001
10.3784,78.81642,34.32,23.75,2002
10.3784,78.81642,33.67,23.66,2003
10.3784,78.81642,32.84,23.02,2004
10.3784,78.81642,33.03,23.64,2005
10.3784,78.81642,32.84,23.26,2006
10.3784,78.81642,33.73,23.46,2007
10.3784,78.81642,32.79,23.1,2008
10.3784,78.81642,34.38,23.82,2009
10.3784,78.81642,33.7,23.85,2010
10.3784,78.81642,33.38,23.45,2011
10.3784,78.81642,34.18,23.75,2012
10.3784,78.81642,34.58,24.13,2013
10.3784,78.81642,33.98,23.89,2014
10.3784,78.81642,33.26,23.66,2015
10.401,76.1742,30.38,24.63,1997
10.401,76.1742,30.43,24.8,1998
10.401,76.1742,29.89,24.1,1999
10.401,76.1742,30.18,24.06,2000
10.401,76.1742,30.04,24.4,2001
10.401,76.1742,30.62,24.51,2002
10.401,76.1742,30.55,24.66,2003
10.401,76.1742,30.23,24.25,2004
10.401,76.1742,29.99,24.59,2005
10.401,76.1742,30.15,24.23,2006
10.401,76.1742,30.24,24.32,2007
10.401,76.1742,29.92,24.05,2008
10.401,76.1742,30.41,24.5,2009
10.401,76.1742,30.11,24.81,2010
10.401,76.1742,30.01,24.04,2011
10.401,76.1742,30.5,24.46,2012
10.401,76.1742,30.38,24.68,2013
10.401,76.1742,30.51,24.83,2014
10.401,76.1742,30.51,24.84,2015
10.7639,79.8445,31.15,25.71,1997
10.7639,79.8445,31.38,26.06,1998
10.7639,79.8445,30.94,25.4,1999
10.7639,79.8445,31.24,25.66,2000
10.7639,79.8445,31.33,25.75,2001
10.7639,79.8445,31.7,25.89,2002
10.7639,79.8445,31.38,25.9,2003
10.7639,79.8445,30.79,25.41,2004
10.7639,79.8445,31.12,25.95,2005
10.7639,79.8445,30.98,25.66,2006
10.7639,79.8445,31.13,25.64,2007
10.7639,79.8445,30.69,25.54,2008
10.7639,79.8445,31.57,25.92,2009
10.7639,79.8445,31.11,25.88,2010
10.7639,79.8445,31.14,25.77,2011
10.7639,79.8445,31.39,25.87,2012
10.7639,79.8445,31.68,26.02,2013
10.7639,79.8445,31.44,25.97,2014
10.7639,79.8445,31.13,25.96,2015
10.7727,79.6368,31.15,25.71,1997
10.7727,79.6368,31.38,26.06,1998
10.7727,79.6368,30.94,25.4,1999
10.7727,79.6368,31.24,25.66,2000
10.7727,79.6368,31.33,25.75,2001
10.7727,79.6368,31.7,25.89,2002
10.7727,79.6368,31.38,25.9,2003
10.7727,79.6368,30.79,25.41,2004
10.7727,79.6368,31.12,25.95,2005
10.7727,79.6368,30.98,25.66,2006
10.7727,79.6368,31.13,25.64,2007
10.7727,79.6368,30.69,25.54,2008
10.7727,79.6368,31.57,25.92,2009
10.7727,79.6368,31.11,25.88,2010
10.7727,79.6368,31.14,25.77,2011
10.7727,79.6368,31.39,25.87,2012
10.7727,79.6368,31.68,26.02,2013
10.7727,79.6368,31.44,25.97,2014
10.7727,79.6368,31.13,25.96,2015
10.77592,76.6438,29.87,20.93,1997
10.77592,76.6438,29.93,21.19,1998
10.77592,76.6438,29.38,20.38,1999
10.77592,76.6438,29.93,20.49,2000
10.77592,76.6438,29.66,20.84,2001
10.77592,76.6438,30.4,20.85,2002
10.77592,76.6438,30.22,21.06,2003
10.77592,76.6438,29.48,20.51,2004
